star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0037-01318-1,30.79837250,0.12845722,5.444,2000.0,77.200,21.200
TYC 0037-01319-1,31.62197194,0.03536917,6.395,2000.0,59.100,8.200
TYC 0038-01166-1,34.11811056,2.23815556,7.387,2000.0,36.900,-11.100
TYC 0038-01270-1,33.79001028,0.72019389,6.772,2000.0,10.200,-11.900
TYC 0038-01283-1,33.65413278,1.67761889,7.291,2000.0,-15.700,-10.300
TYC 0038-01324-1,34.30617250,1.86043833,7.337,2000.0,-10.200,-4.100
TYC 0038-01343-1,34.50517083,1.75694778,5.665,2000.0,368.500,370.700
TYC 0039-00343-1,35.45391194,0.97001361,7.436,2000.0,21.700,4.200
TYC 0039-01123-1,36.99973306,1.96092556,6.630,2000.0,-2.200,-14.000
TYC 0039-01275-1,35.48597694,0.39569111,5.489,2000.0,-11.800,-8.100
TYC 0040-00718-1,32.41655833,4.23275028,7.407,2000.0,53.600,7.400
TYC 0040-00885-1,30.09080583,4.38949222,7.203,2000.0,1.800,3.800
TYC 0040-01162-1,32.46392083,3.76936000,6.814,2000.0,25.100,-6.400
TYC 0040-01286-1,30.75669417,3.35830861,6.947,2000.0,218.500,141.800
TYC 0040-01337-1,30.03763972,3.09759444,5.940,2000.0,231.700,-253.700
TYC 0040-01338-1,30.51167361,2.76375639,4.100,2000.0,41.800,-11.000
TYC 0040-01338-2,30.51116500,2.76383611,5.167,2000.0,41.800,-11.000
TYC 0041-00384-1,34.86948889,2.82033917,7.381,2000.0,23.500,4.400
TYC 0041-01221-1,32.93085889,3.45271750,6.686,2000.0,19.900,-0.700
TYC 0041-01255-1,33.06566917,2.74552306,6.609,2000.0,14.500,13.600
TYC 0043-00036-1,32.34283278,5.98612028,7.019,2000.0,-37.000,37.100
TYC 0043-00275-1,31.45179083,7.02839639,6.826,2000.0,74.300,8.200
TYC 0958-01468-1,243.32639056,13.52802722,7.427,2000.0,,
TYC 0043-01044-1,31.94673861,5.98489472,7.169,2000.0,14.600,-26.400
TYC 0958-01468-2,243.32623083,13.52916944,7.475,2000.0,,
TYC 0044-00602-1,32.63474194,6.09881806,7.449,2000.0,106.800,9.000
TYC 0044-00877-1,33.63539917,6.65107083,7.248,2000.0,44.300,-10.100
TYC 0044-01246-1,33.37387083,5.01282778,6.546,2000.0,72.500,-51.400
TYC 0045-00990-1,36.56748861,6.29266472,6.828,2000.0,87.100,-50.900
TYC 0046-00485-1,38.17559694,1.03368556,7.347,2000.0,-20.400,0.700
TYC 0046-00965-1,39.28978361,2.41550528,7.259,2000.0,25.600,-18.600
TYC 0046-01631-1,37.87534667,2.26720667,5.411,2000.0,23.200,-9.900
TYC 0046-01633-1,39.87062306,0.32851556,4.029,2000.0,,
TYC 0046-01634-1,37.68846667,0.25587167,6.014,2000.0,-51.900,-52.900
TYC 0047-00258-1,42.40783444,0.92102917,6.925,2000.0,20.200,-26.200
TYC 0047-00857-1,40.37607833,0.54605833,6.820,2000.0,-3.400,-16.100
TYC 0048-00224-1,42.83490139,2.17286833,7.172,2000.0,-8.200,-23.100
TYC 0048-00271-1,43.40934917,1.96966750,6.844,2000.0,-37.800,-150.600
TYC 0048-00529-1,43.80843694,0.43689417,7.155,2000.0,0.300,-54.100
TYC 0048-01600-1,43.88148639,2.01830139,6.577,2000.0,9.600,-9.800
TYC 0048-01697-1,44.29307806,0.44780583,6.664,2000.0,24.600,-3.100
TYC 0049-01674-1,39.65326611,3.44318583,6.348,2000.0,31.700,5.900
TYC 0050-00054-1,40.19713000,2.89843222,7.196,2000.0,52.600,16.200
TYC 0050-00606-1,40.23590500,4.87075917,7.390,2000.0,4.000,-15.700
TYC 0050-00615-1,40.34002000,4.42792833,7.031,2000.0,8.200,-56.300
TYC 0050-01208-1,41.33694694,4.71172556,6.070,2000.0,69.500,-40.700
TYC 0050-01721-1,40.82550083,3.23616611,3.551,2000.0,,
