star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
TYC 0013-00900-1,9.94552778,3.65259444,7.769,2000.0,33.500,32.100
TYC 0013-00974-1,8.86929111,4.29467139,7.660,2000.0,-2.700,0.300
TYC 0013-00993-1,7.92616056,3.75626278,8.313,2000.0,-8.800,-4.300
TYC 0013-01304-1,8.47597833,3.31990611,7.588,2000.0,-12.600,-12.600
TYC 0013-01406-1,9.37684333,3.13549667,6.564,2000.0,90.800,-59.700
TYC 0013-01409-1,9.50226250,2.76366667,7.794,2000.0,12.700,-5.800
TYC 0013-01473-1,9.80345806,3.13322194,7.411,2000.0,782.600,299.400
TYC 0013-01547-1,7.53623306,4.86007611,6.556,2000.0,-19.400,14.700
TYC 0014-00338-1,11.23027694,3.20099306,7.965,2000.0,21.700,2.300
TYC 0014-00515-1,10.33870583,3.59940167,8.320,2000.0,9.300,-2.000
TYC 0014-00570-1,10.20803361,4.47836167,8.074,2000.0,-13.000,-21.700
TYC 0014-00641-1,10.59672722,4.16667306,7.855,2000.0,27.200,-38.400
TYC 0014-01103-1,10.84854806,2.58407222,7.942,2000.0,-7.900,9.400
TYC 0015-00043-1,12.60207194,3.38141611,8.383,2000.0,19.200,-21.900
TYC 0015-00073-1,12.76854278,2.74372083,7.687,2000.0,-12.400,-68.200
TYC 0015-00521-1,14.57833222,4.29661028,8.014,2000.0,23.000,-8.800
TYC 0015-00878-1,14.67673500,4.20579250,7.634,2000.0,47.000,0.900
TYC 0015-00958-1,13.33130917,4.08630528,7.201,2000.0,-43.200,-35.600
TYC 0015-00984-1,12.98429694,4.06031000,7.873,2000.0,53.700,-5.900
TYC 0015-01194-1,12.82629972,3.38516722,6.488,2000.0,21.700,-66.000
TYC 0016-00392-1,9.01513778,7.15600806,7.821,2000.0,60.600,-12.900
TYC 0016-00724-1,8.53455806,5.95782306,7.687,2000.0,10.900,28.800
TYC 0016-01030-1,9.23781806,5.41248361,8.283,2000.0,48.400,7.100
TYC 0016-01423-1,8.09898667,6.95545639,5.676,2000.0,31.900,4.100
TYC 0017-00302-1,10.63668083,5.67536667,7.717,2000.0,13.300,-2.400
TYC 0017-00556-1,11.26855528,5.18167917,8.221,2000.0,9.300,2.800
TYC 0017-01041-1,11.52416028,6.09010083,7.842,2000.0,-7.800,38.800
TYC 0017-01084-1,12.41630111,6.40714333,7.653,2000.0,-19.800,0.300
TYC 0017-01353-1,11.84843444,6.74098083,6.067,2000.0,13.700,-15.000
TYC 0017-01398-1,12.09400417,5.28325139,5.828,2000.0,757.300,-1135.400
TYC 0017-01413-1,12.07228194,7.29991917,6.036,2000.0,112.000,4.000
TYC 0018-00018-1,14.58098944,6.84432500,6.844,2000.0,30.200,-7.600
TYC 0018-00040-1,14.95697917,6.48323833,6.341,2000.0,19.400,-7.300
