radius_low_px,radius_high_px,count,rms_px,median_px,p90_px,maximum_px,mean_radial_offset_px
0.0,200.0,405,0.5364975659765362,0.4385299113072875,0.8056860994236683,1.6866461814558174,0.3286873704764382
200.0,400.0,1179,0.3789393299695889,0.23337370433099688,0.5616720402592491,1.8819139759194896,-0.0684601197773008
400.0,600.0,1548,0.3426277963187462,0.20355870280433083,0.4918048622075042,1.7038750589723506,0.014693563469419838
600.0,800.0,521,0.46103661921562483,0.3059592107099053,0.7106090972918813,2.2112063405477445,-0.04023068688959871
800.0,1000.0,0,,,,,
1000.0,1200.0,0,,,,,
