source_id,ref_epoch,ra,dec,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,astrometric_params_solved,duplicated_source,ra_error,dec_error,pmra_error,pmdec_error,parallax,radial_velocity
132667245587072,2016.0,45.0727955724553,0.969970782487376,29.432375835260864,-93.78045808765805,7.4750457,8.025092,6.7722306,0.91172814,31,false,0.01684003,0.01768489,0.022092124,0.02324187,5.737753870967776,-73.29518
219563023736832,2016.0,45.356446830207325,1.1561735600784608,18.88519910948264,-0.8955130617308779,7.344721,7.4395933,7.143482,0.9804774,31,false,0.022167029,0.017677454,0.027777238,0.020996358,4.396286955309531,11.196003
250246270117248,2016.0,45.79434455067139,1.3680915546306727,47.42280728969473,-19.006404516835023,7.408689,7.9985847,6.677944,1.2332281,31,false,0.020188674,0.01985393,0.02471662,0.023302836,4.800003764568492,21.995173
454514914751488,2016.0,44.857642696732825,1.6511254833884474,-28.689380368989994,-18.414074557648913,7.433595,8.0276575,6.700681,6.8032336,31,false,0.14330757,0.14924556,0.20148416,0.18093626,6.556286196093361,-2.1593115
650159265042048,2016.0,46.15872572707686,1.8636040728799033,,,5.7584205,6.2811093,5.072788,,3,false,0.05974744,0.057548635,,,,1.6846472
1195551392247936,2016.0,43.88154987112852,2.018217023833527,5.89714509995766,-11.567429921050099,6.589071,6.56363,6.605023,1.0779058,31,false,0.040271584,0.045735434,0.051694885,0.049471833,6.7012607524697705,25.450867
1249152584299776,2016.0,43.409088789429624,1.9686473325601426,-38.6794168801063,-150.57618577188853,6.46286,6.954598,5.8021526,1.1231834,95,false,0.024104176,0.02102761,0.02676203,0.023693433,8.112836912339363,-124.62597
1301929142132608,2016.0,44.65574879321864,2.120449164372491,8.970436923694882,-24.580801303692954,7.068493,7.7789507,6.252968,1.1687003,31,false,0.018646281,0.01885875,0.02342388,0.021700421,4.310796473680449,16.90616
1435244927007872,2016.0,42.834836973117284,2.1727002563146143,-9.320772010782022,-23.84699372536465,6.132085,7.2153497,5.096483,1.20681,31,false,0.02398653,0.019152183,0.031622566,0.02296053,2.020616111720801,-13.892095
2058736739430272,2016.0,43.78416424501515,3.4868137042116003,29.68764547752696,-12.863434834363183,6.8555465,6.9935393,6.598495,1.1509043,31,false,0.026041515,0.019908579,0.034471776,0.026998447,11.645760038670751,6.4039426
