detection_id,x_px,y_px,flux_above_background,peak_above_background,peak_snr,area_px,major_sigma_px,axis_ratio,saturated,source_class,measurement_half_window_px,fitted_ra_deg,fitted_dec_deg,catalogue_star_id,classification
1,1225.2798247728063,1234.0880897290676,22524.94912007919,189.73845329646454,15.622162730139568,160,6.704734671272996,4.094868543942452,True,broad_blob,32,239.11124681919551,35.20317973528761,,unclassified_object
2,793.5275430392761,253.55419733605004,9838.24101801532,180.88103974638722,17.078809587683427,90,3.305311311045899,1.4396014740375875,True,broad_blob,16,56.7100291538804,24.179255836923552,TYC 1800-01908-1,unclassified_object
3,1067.4426227679335,316.95709233927994,3615.1798384107988,181.83054333872298,23.999880517987055,33,1.6002118661303315,1.2933804890969192,True,broad_blob,8,79.17450818499947,46.01846235581565,HIP 024608,unclassified_object
4,169.68809006398922,798.0358307038296,3503.6331736665325,192.0272636335217,28.19071892334705,30,2.0197632043900184,1.8906296353829257,True,broad_blob,8,344.48568611256525,-29.579921906250576,HIP 113368,unclassified_object
5,956.1065942395198,1151.431837560305,3413.5542870601785,185.48761140541686,20.168548379192043,31,1.405591453546417,1.100859864647685,True,compact,4,279.20258776986327,38.78259370699499,HIP 091262,unclassified_object
6,957.5542093375919,533.8163277885732,3218.778358001208,185.8511525036482,18.79981470729825,36,2.513285171301212,1.786723963360886,True,broad_blob,8,35.000579271891276,57.185918630871285,TYC 3694-01789-1,unclassified_object
7,617.4868734882809,1198.2611248746562,2749.563045631644,175.80233243641334,21.001775512300433,28,1.4553889214951967,1.2854938263855538,True,broad_blob,8,297.7225996198085,8.86677742296384,HIP 097649,unclassified_object
8,1417.9422144509156,900.2219166518216,2530.1570475913218,129.7765580562103,24.086296916733957,26,1.5627352314312246,1.5220803919409702,True,compact,4,201.0433383545148,54.893641892078485,TYC 3850-01384-1,unclassified_object
9,1408.6664770199368,679.6296792244708,2489.9000021997745,167.9401421596633,31.451509328495945,26,1.2365654600756735,1.0919849156779693,True,compact,4,165.9238432258931,61.7520107101586,HIP 054061,unclassified_object
10,1426.9062762843798,505.7516301885723,2331.5635656603645,150.54162105986933,31.127393590549424,26,2.856068761407268,3.758361208834527,True,broad_blob,8,143.4403514331272,51.75536004330545,TYC 3432-01451-1,unclassified_object
11,988.4784012973572,170.65510923329614,2325.0390237397787,166.99944832051926,24.885080541991638,23,1.2731332543551908,1.2379793211672487,True,compact,4,81.55558970350057,28.622906660860057,HIP 025428,unclassified_object
12,1432.4485525219882,850.1548844702525,2281.070861012742,138.78350143730805,23.57924454173039,25,1.300419774615955,1.1280165682349106,True,compact,4,193.49697055058445,55.91551350285617,HIP 062956,unclassified_object
13,274.33550501039696,542.6749805842533,2276.1309000419537,187.71228942302122,34.903710533906526,20,1.1309852606938562,1.1785520411897172,True,compact,4,10.89286546478324,-17.96434701376979,TYC 5847-02333-1,unclassified_object
14,1254.6491020795268,873.9199101755593,2260.874173361158,205.41736939250737,34.64659524523775,17,1.439664400810594,1.8980086643541645,True,compact,4,229.87865212848908,71.83065572176608,TYC 4414-02314-1,unclassified_object
15,567.8991419649414,253.55748623935744,2244.8111068436074,199.28976496601365,33.46393586898115,20,1.3614359360010855,1.5996339362240397,True,compact,4,45.57281097438423,4.1496372029531905,TYC 0058-01618-1,unclassified_object
16,1127.246882700529,293.2720430310049,2218.5608525580146,177.53156052353884,24.70243674592946,20,1.3502430615292274,1.3789921808902819,True,broad_blob,8,89.8818890818579,44.92011043445892,HIP 028360,unclassified_object
17,1340.2759978829538,776.032784759655,2159.191269616109,189.52991550718386,30.929588643435952,22,1.601056746781003,2.055578487018281,True,broad_blob,8,188.53914829687858,69.90502847606434,TYC 4397-01799-1,unclassified_object
18,745.2903884052349,1199.6247499973917,2111.972213089385,172.93929900032694,18.918756374469865,25,1.7204289432823414,1.441328953010711,True,broad_blob,8,291.4779361558126,19.98727530044602,TYC 1608-01200-1,unclassified_object
19,1216.3220352523356,990.605785708753,2085.037059987808,189.45980397268417,28.854108052715283,17,1.1258804149856025,1.2875317274156275,True,compact,4,245.98614547969416,61.56228175136978,TYC 4190-02568-1,unclassified_object
20,1179.8494046058859,717.0518888235188,2049.4488367355425,208.48967051220822,35.795165206710614,16,1.2341471713574608,1.5327765743616253,True,compact,4,36.49772141001233,89.24410314842063,TYC 4628-00237-1,unclassified_object
21,946.5827861440955,632.3901390451592,2013.8133038726485,176.3464884818327,18.03294127066421,20,1.9103501997344365,2.738168264100547,True,broad_blob,8,14.15598693928339,60.53433356579697,TYC 4017-01864-1,unclassified_object
22,75.76803407130495,588.1936262094418,2011.194389352116,175.77339082967114,37.89722255830331,18,1.3192798193507702,1.6482354171297633,True,compact,4,6.581309591122545,-42.37725379858947,TYC 7527-01031-1,unclassified_object
23,706.143566236615,1168.2223942690262,2006.1824635416835,158.23101719801093,18.241676552719987,28,2.6178779799927865,2.5958663602013843,True,broad_blob,8,297.019025546599,18.802826252919676,TYC 1623-00800-1,unclassified_object
24,955.2805076404368,428.4315793022527,1967.1721928773995,201.01192019508508,19.79768450946695,18,1.0585047333597906,1.1091223243097206,True,compact,4,51.14424736833542,49.838920339682424,HIP 015863,unclassified_object
25,279.4308619687177,809.8946964219402,1945.7201684098377,196.77160775987133,36.61363042127155,18,1.7584773726708751,2.39843359985697,True,broad_blob,8,343.6688342944432,-15.943100769801134,TYC 6387-01382-1,unclassified_object
26,395.126180065778,1181.9666817882862,1922.686341932985,183.81909102593642,26.816876562565316,20,1.1624603463946688,1.3168178176018956,True,compact,4,304.4923888495841,-12.51163138316157,TYC 5749-02530-1,unclassified_object
27,949.473772420504,410.039133450865,1888.0035892361816,195.1456685858882,19.012076661837924,17,1.4456694880212373,1.7621781553941416,True,broad_blob,8,52.86743953991055,47.99460021432892,TYC 3316-02307-1,unclassified_object
28,1449.3636124145771,666.9779797833246,1886.240530897618,148.33793006284208,31.672244332821073,20,1.2259709871602344,1.256775366361322,True,compact,4,165.4709254505411,56.3286185370552,,unclassified_object
