star_id,ra_deg,dec_deg,mag,reference_epoch_jyear,pm_ra_cosdec_mas_per_year,pm_dec_mas_per_year
Gaia DR3 132667245587072,45.0727955724553,0.969970782487376,7.4750457,2016.0,29.432375835260864,-93.78045808765805
Gaia DR3 219563023736832,45.356446830207325,1.1561735600784608,7.344721,2016.0,18.88519910948264,-0.8955130617308779
Gaia DR3 250246270117248,45.79434455067139,1.3680915546306727,7.408689,2016.0,47.42280728969473,-19.006404516835023
Gaia DR3 454514914751488,44.857642696732825,1.6511254833884474,7.433595,2016.0,-28.689380368989994,-18.414074557648913
Gaia DR3 650159265042048,46.15872572707686,1.8636040728799033,5.7584205,2016.0,,
Gaia DR3 1195551392247936,43.88154987112852,2.018217023833527,6.589071,2016.0,5.89714509995766,-11.567429921050099
Gaia DR3 1249152584299776,43.409088789429624,1.9686473325601426,6.46286,2016.0,-38.6794168801063,-150.57618577188853
Gaia DR3 1301929142132608,44.65574879321864,2.120449164372491,7.068493,2016.0,8.970436923694882,-24.580801303692954
Gaia DR3 1435244927007872,42.834836973117284,2.1727002563146143,6.132085,2016.0,-9.320772010782022,-23.84699372536465
Gaia DR3 2058736739430272,43.78416424501515,3.4868137042116003,6.8555465,2016.0,29.68764547752696,-12.863434834363183
Gaia DR3 2349420126012032,47.48722175730163,3.060693477389311,7.355467,2016.0,58.55088429420292,-59.375722444784756
Gaia DR3 2778538898443264,47.412222200942594,4.38427379959238,7.458585,2016.0,20.001339994344846,13.730536345513741
Gaia DR3 3665501184671104,45.593898994088654,4.352914234157361,5.6009407,2016.0,16.640977854581223,6.302420235890801
Gaia DR3 3793113252920320,45.66625899079103,5.188148900550677,7.4183846,2016.0,4.753062854812914,-7.451708796465311
Gaia DR3 4425847835083264,48.10981175974319,6.660882342424615,5.1344094,2016.0,-8.399697035575667,-0.7562548964030311
Gaia DR3 4645750160709248,42.83664951333226,3.0567887431309155,7.312822,2016.0,-9.530263098359907,-4.987330620652284
Gaia DR3 5228079006411904,44.26913576658498,4.501125525228609,5.0265765,2016.0,17.938077087810328,22.556130192080875
Gaia DR3 5850333868501248,41.337421695841414,4.7114504498852,5.9799666,2016.0,69.74547472674081,-40.82801481032268
Gaia DR3 5922077001986176,40.340090955371934,4.427539209105315,6.9498754,2016.0,10.281035232275002,-61.298331760291774
Gaia DR3 5972070421436672,40.23587996434974,4.870720682776147,7.307699,2016.0,,
Gaia DR3 6121947600098304,41.13592136457917,5.657678411919321,7.4872894,2016.0,4.095607966852768,-22.655812846962586
Gaia DR3 6803919687302528,45.46807230961405,5.336219193957437,5.9490547,2016.0,38.906485621133896,15.901554393972017
Gaia DR3 6963761190199424,45.9627666464047,6.133522852317712,6.792566,2016.0,232.14689641946057,49.837745238663295
Gaia DR3 7012208421296512,45.86731992860746,6.226440123327249,6.637057,2016.0,-9.311675218691907,-58.65246515371933
Gaia DR3 7137861984507136,44.0174600288259,6.175020577507975,6.972165,2016.0,19.441982732589388,11.40453510695635
Gaia DR3 7320518353634560,46.41047732399552,6.1174194763072,7.2390366,2016.0,31.34352738553919,-3.8673257243288477
Gaia DR3 7461255842074368,47.10368819283662,6.723551265190124,7.369281,2016.0,18.02066939450671,20.980542257354582
Gaia DR3 7597629643591936,47.11613627242889,7.642930375900692,6.964732,2016.0,-17.166179441062905,-20.088599156295523
Gaia DR3 8336913774261504,43.58747636305295,7.680148575290517,7.417686,2016.0,22.285370048431364,-18.722491938929355
Gaia DR3 8810116091022208,44.05766181697293,8.38116469976781,5.860868,2016.0,66.40087965379057,-89.43507977777753
Gaia DR3 8900825800310016,44.928756622077145,8.907313066231804,4.663585,2016.0,8.382463671123842,-16.384884771127954
Gaia DR3 9192093302608000,51.88317890551529,5.870251187728645,6.7858624,2016.0,9.554702942994428,-41.36331327592077
Gaia DR3 9769543065590912,52.75596189613907,7.198243627173156,7.1888075,2016.0,-13.712340918250376,-14.619252210406408
Gaia DR3 10245940838016768,49.28774962295888,6.799759946916994,6.9244967,2016.0,50.94927857503431,-29.704749585819556
Gaia DR3 10584899657116672,49.3606888568276,7.655782956901497,7.2656646,2016.0,166.35672958126955,-6.3048898334079615
Gaia DR3 11097615673025152,49.983378019528715,8.699743733005407,7.4170227,2016.0,-7.405842443972652,-5.9114740345306815
Gaia DR3 11166438229308672,51.20302758439933,9.028538893521931,3.3823738,2016.0,-66.3842445405924,-74.41348730919924
Gaia DR3 11330849576988544,53.016786666429034,7.566289791722438,7.412726,2016.0,-13.272183141095827,-8.894786370499434
Gaia DR3 11538141878574208,54.048871260440585,8.886433264628003,7.1021223,2016.0,15.840098472959703,-9.720098714593428
Gaia DR3 12288352407192704,55.38376173165499,10.081678560505317,6.8746705,2016.0,-16.129998626316752,-20.536680170194764
Gaia DR3 12314843763993984,54.47914080873418,9.932742443373881,7.025612,2016.0,21.435817562344855,-20.64167796404694
Gaia DR3 12561615405506176,53.14990051144888,9.373236488496987,5.7445254,2016.0,30.32725707794592,-48.03632686245544
Gaia DR3 12730974556132096,51.7925714099467,9.732550147153876,3.7018294,2016.0,70.74114212076735,-43.155877043093504
Gaia DR3 12790176385109376,51.19291146778012,9.807727492435625,7.43707,2016.0,34.759972553452684,-29.499336720082297
Gaia DR3 13247985539110272,52.609905533808764,10.458679890806861,6.471569,2016.0,4.198237186424596,-20.068863960644435
Gaia DR3 13471804874760192,53.04988045561125,11.542221280700227,6.780669,2016.0,28.170432953631128,-44.262284884576545
Gaia DR3 13755375795347328,48.1462924720083,8.593689680877839,7.167308,2016.0,-19.52947845697556,-9.09981020604413
Gaia DR3 13898793343318144,47.161619603691,8.47140235195367,5.998988,2016.0,-2.8660838100016717,74.42105325099357
Gaia DR3 14724045539432832,46.17876264984041,9.090228232226321,7.0613885,2016.0,17.632200450746033,-13.523374767638291
Gaia DR3 15230714241517056,47.70497388979554,10.005953754502999,6.163624,2016.0,33.66293503299624,12.103251944528452
Gaia DR3 15516278027114624,47.104525030517536,10.795725538416262,7.1949363,2016.0,-64.31964199765906,-32.557527275595746
Gaia DR3 15759613694243712,47.66178887618479,11.872515688036835,5.9547124,2016.0,33.20172058586204,-23.128202094031543
Gaia DR3 16014322434665600,51.2692014141482,10.976368376039618,7.2885084,2016.0,11.694266221465673,-19.40042171537981
Gaia DR3 16370186245017600,52.60189379567805,11.336366312512377,5.1155972,2016.0,-13.13448034264113,-16.445575872541
Gaia DR3 16383346024792192,52.15135794493335,11.390361111066236,6.4841995,2016.0,-11.541419609144743,-35.64922394314657
Gaia DR3 16680111085068800,51.06420282056112,11.860875658291294,7.4075704,2016.0,0.25722481965878785,-26.725055441813097
Gaia DR3 16744118982390016,51.294252619464444,12.48526437707979,7.3839183,2016.0,20.869815652892623,-26.400061818168865
Gaia DR3 16835073505156096,51.82786002172244,12.7352501551198,6.289849,2016.0,9.7127995343028,-7.452138656850486
Gaia DR3 17147300447504768,50.141055791117886,12.346644324343366,7.226325,2016.0,134.9834035196895,11.120201379023532
Gaia DR3 17165957785420160,49.80790077316795,12.452033215955597,7.1569314,2016.0,42.33839773571657,-9.781295716378324
Gaia DR3 17501068313867008,51.04231214101836,12.62950173067494,5.593529,2016.0,24.018562631365313,-20.420084818944222
Gaia DR3 17841779479693696,49.96668140023868,13.377025498311841,6.834345,2016.0,0.1566483046201792,-10.483656267281573
Gaia DR3 18118925129052544,38.96851868474252,5.593141310365199,4.6401253,2016.0,-27.58544339863692,-22.20528137386583
Gaia DR3 18215544713443712,40.28261918955002,6.072309598576447,6.2544456,2016.0,7.470057207188473,7.931084179632307
