detection_id,star_id,catalog_ra_deg,catalog_dec_deg,magnitude,x_px,y_px,predicted_x_px,predicted_y_px,residual_px,usage,source_class,saturated
2,TYC 1800-01908-1,56.61361111,24.25510056,7.338,793.5275430392761,253.55419733605004,793.5841852885519,254.50313458406913,0.9506262383718797,fitted,broad_blob,True
3,HIP 024608,79.17206517,45.99902927,0.080,1067.4426227679335,316.95709233927994,1067.3368895583483,316.7971660323981,0.1917183748159185,fitted,broad_blob,True
4,HIP 113368,344.41177323,-29.62183701,1.170,169.68809006398922,798.0358307038296,169.38853831164613,798.7328916555365,0.7586996920563425,fitted,broad_blob,True
5,HIP 091262,279.23410832,38.78299311,0.030,956.1065942395198,1151.431837560305,955.9290841338,1151.3156307896024,0.2121646794115262,fitted,compact,True
6,TYC 3694-01789-1,34.80809722,57.16923444,6.735,957.5542093375919,533.8163277885732,956.9535515905304,534.4913965267767,0.9036080623836594,fitted,broad_blob,True
7,HIP 097649,297.69450860,8.86738491,0.760,617.4868734882809,1198.2611248746562,617.6331269347357,1198.4732531870545,0.2576596427865385,fitted,broad_blob,True
8,TYC 3850-01384-1,201.30592361,54.98799833,4.007,1417.9422144509156,900.2219166518216,1416.546009906824,901.1797736216595,1.6931854900183232,fitted,compact,True
9,HIP 054061,165.93265365,61.75111888,1.810,1408.6664770199368,679.6296792244708,1408.6795337221713,679.6751400535067,0.047298672812955946,fitted,compact,True
10,TYC 3432-01451-1,143.21784694,51.67856694,3.214,1426.9062762843798,505.7516301885723,1426.4582762671748,503.913852638803,1.8915946547428255,fitted,broad_blob,True
11,HIP 025428,81.57290804,28.60787346,1.650,988.4784012973572,170.65510923329614,988.5144725113847,170.48905251279007,0.16992929972977666,fitted,compact,True
12,HIP 062956,193.50680410,55.95984301,1.760,1432.4485525219882,850.1548844702525,1432.1279230887678,850.0235802466187,0.3464737112556374,fitted,compact,True
13,TYC 5847-02333-1,10.89682139,-17.98667833,2.139,274.33550501039696,542.6749805842533,274.1588622297105,542.6316518241329,0.1818792275720695,fitted,compact,True
14,TYC 4414-02314-1,230.18228278,71.83397722,3.011,1254.6491020795268,873.9199101755593,1253.9077642773682,874.3710319203751,0.8678090605398139,fitted,compact,True
15,TYC 0058-01618-1,45.56991167,4.08992139,2.716,567.8991419649414,253.55748623935744,567.3660351183318,253.4210055962979,0.5502998054079032,fitted,compact,True
16,HIP 028360,89.88237261,44.94743492,1.900,1127.246882700529,293.2720430310049,1127.3483700445483,293.5198434208687,0.2677773594102673,fitted,broad_blob,True
17,TYC 4397-01799-1,188.68358944,70.02177278,5.095,1340.2759978829538,776.032784759655,1339.2659492055586,776.2025524933317,1.0242164879093922,fitted,broad_blob,True
18,TYC 1608-01200-1,291.55518444,20.09781556,5.590,745.2903884052349,1199.6247499973917,745.7732141830678,1198.6344165679893,1.1017626936558989,fitted,broad_blob,True
19,TYC 4190-02568-1,245.99794306,61.51408333,2.801,1216.3220352523356,990.605785708753,1216.2587374587793,991.0778439393505,0.47628309201974195,fitted,compact,True
20,TYC 4628-00237-1,37.94661861,89.26413528,2.038,1179.8494046058859,717.0518888235188,1180.077363271413,717.052805512237,0.22796050865701728,fitted,compact,True
21,TYC 4017-01864-1,14.19559250,60.36284694,5.555,946.5827861440955,632.3901390451592,945.1923548125861,631.7612111131607,1.5260568899260887,fitted,broad_blob,True
22,TYC 7527-01031-1,6.57031000,-42.30516389,2.496,75.76803407130495,588.1936262094418,76.31459936850467,588.2546094440254,0.5499568883133388,fitted,compact,True
23,TYC 1623-00800-1,297.18184194,18.86705389,7.226,706.143566236615,1168.2223942690262,705.8642377972969,1166.8586117718596,1.3920944926942553,fitted,broad_blob,True
24,HIP 015863,51.08061889,49.86124281,1.790,955.2805076404368,428.4315793022527,955.1887752526916,428.81771246166846,0.39687989085090136,fitted,compact,True
25,TYC 6387-01382-1,343.66265806,-15.82076333,3.258,279.4308619687177,809.8946964219402,280.43040187898794,809.9706281663651,1.0024199030518377,fitted,broad_blob,True
26,TYC 5749-02530-1,304.51342083,-12.54485833,3.665,395.126180065778,1181.9666817882862,394.74172157187473,1181.800246456474,0.41893800640403633,fitted,compact,True
27,TYC 3316-02307-1,53.03575778,48.02353056,5.444,949.473772420504,410.039133450865,950.3599318046527,409.5652414082063,1.0049139874685418,fitted,broad_blob,True
29,HIP 067301,206.88560880,49.31330288,1.850,1425.8162383149124,971.2557187517817,1425.0516566189197,970.9541115229033,0.8219197590756103,fitted,compact,True
30,TYC 2162-01674-1,302.94988861,26.80901528,5.648,744.1980988568977,1097.503191599353,744.8276743961376,1096.5247588877198,1.163484392161292,fitted,broad_blob,True
