object,ra,dec,dp_id,date_obs,prog_id,access_estsize,access_url,datalink_url,dec_pnt,det_chip1id,det_chop_ncycles,det_dit,det_expid,det_ndit,dp_cat,dp_tech,dp_type,ecl_lat,ecl_lon,exp_start,exposure,filter_path,gal_lat,gal_lon,grat_path,gris_path,ins_mode,instrument,lambda_max,lambda_min,last_mod_date,mjd_obs,ob_id,ob_name,obs_mode,origfile,period,pi_coi,prog_title,prog_type,ra_pnt,release_date,s_region,slit_path,target,tel_airm_end,tel_airm_start,tel_alt,tel_ambi_fwhm_end,tel_ambi_fwhm_start,tel_ambi_pres_end,tel_ambi_pres_start,tel_ambi_rhum,tel_az,telescope,tpl_expno,tpl_id,tpl_name,tpl_nexp,tpl_seqno,tpl_start
ALL SKY,284.51755805,-24.65466194,APICAM.2018-09-16T00:01:15.000,2018-09-16T00:01:15.000,60.A-9008(A),24775,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:01:15.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:01:15.000,-24.654662,KAF-16803,,,,,CALIB,IMAGE,SKY,-1.876983,256.823771,2018-09-16T00:01:14.997Z,120.0,LUMINANCE,-12.334404,11.354814,,,,APICAM,,,2018-09-16T00:41:05.223Z,58377.00086805555,,,s,APICAM.2018-09-16T00-01-15.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,284.517558,2018-09-16T00:01:14.997Z,POSITION J2000 284.517558 -24.654662,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,285.13599111,-24.65573611,APICAM.2018-09-16T00:03:43.000,2018-09-16T00:03:43.000,60.A-9008(A),24701,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:03:43.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:03:43.000,-24.655736,KAF-16803,,,,,CALIB,IMAGE,SKY,-1.935294,256.264441,2018-09-16T00:03:42.997Z,120.0,LUMINANCE,-12.847089,11.590835,,,,APICAM,,,2018-09-16T00:41:05.223Z,58377.00258101852,,,s,APICAM.2018-09-16T00-03-43.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,285.135991,2018-09-16T00:03:42.997Z,POSITION J2000 285.135991 -24.655736,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,285.75025194,-24.6568,APICAM.2018-09-16T00:06:10.000,2018-09-16T00:06:10.000,60.A-9008(A),24898,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:06:10.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:06:10.000,-24.6568,KAF-16803,,,,,CALIB,IMAGE,SKY,-1.995518,255.709114,2018-09-16T00:06:10.500Z,120.0,LUMINANCE,-13.357125,11.82387,,,,APICAM,,,2018-09-16T00:21:04.133Z,58377.0042824074,,,s,APICAM.2018-09-16T00-06-10.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,285.750252,2018-09-16T00:06:10.500Z,POSITION J2000 285.750252 -24.6568,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,286.36451805,-24.65786,APICAM.2018-09-16T00:08:37.000,2018-09-16T00:08:37.000,60.A-9008(A),25035,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:08:37.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:08:37.000,-24.65786,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.058032,255.154021,2018-09-16T00:08:37.120Z,120.0,LUMINANCE,-13.867959,12.055545,,,,APICAM,,,2018-09-16T00:45:54.570Z,58377.0059837963,,,s,APICAM.2018-09-16T00-08-37.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,286.364518,2018-09-16T00:08:37.120Z,POSITION J2000 286.364518 -24.65786,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,286.97878888,-24.65891805,APICAM.2018-09-16T00:11:04.000,2018-09-16T00:11:04.000,60.A-9008(A),24366,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:11:04.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:11:04.000,-24.658918,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.122831,254.599168,2018-09-16T00:11:04.200Z,120.0,LUMINANCE,-14.379579,12.285884,,,,APICAM,,,2018-09-16T00:45:54.570Z,58377.00768518518,,,s,APICAM.2018-09-16T00-11-04.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,286.978789,2018-09-16T00:11:04.200Z,POSITION J2000 286.978789 -24.658918,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,287.69335694,-24.66014388,APICAM.2018-09-16T00:13:55.000,2018-09-16T00:13:55.000,60.A-9008(A),24543,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:13:55.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:13:55.000,-24.660144,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.201075,253.954038,2018-09-16T00:13:55.170Z,120.0,LUMINANCE,-14.975699,12.552186,,,,APICAM,,,2018-09-16T00:45:54.570Z,58377.00966435186,,,s,APICAM.2018-09-16T00-13-55.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,287.693357,2018-09-16T00:13:55.170Z,POSITION J2000 287.693357 -24.660144,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,288.30764,-24.66119388,APICAM.2018-09-16T00:16:22.000,2018-09-16T00:16:22.000,60.A-9008(A),24802,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:16:22.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:16:22.000,-24.661194,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.270792,253.399728,2018-09-16T00:16:21.997Z,120.0,LUMINANCE,-15.488974,12.779727,,,,APICAM,,,2018-09-16T00:50:37.607Z,58377.01136574074,,,s,APICAM.2018-09-16T00-16-22.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,288.30764,2018-09-16T00:16:21.997Z,POSITION J2000 288.30764 -24.661194,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,288.92610694,-24.66224694,APICAM.2018-09-16T00:18:50.000,2018-09-16T00:18:50.000,60.A-9008(A),24840,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:18:50.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:18:50.000,-24.662247,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.343267,252.841913,2018-09-16T00:18:49.997Z,120.0,LUMINANCE,-16.006494,13.007551,,,,APICAM,,,2018-09-16T00:50:37.607Z,58377.01307870371,,,s,APICAM.2018-09-16T00-18-50.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,288.926107,2018-09-16T00:18:49.997Z,POSITION J2000 288.926107 -24.662247,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,289.54040111,-24.66329,APICAM.2018-09-16T00:21:17.000,2018-09-16T00:21:17.000,60.A-9008(A),24571,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:21:17.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:21:17.000,-24.66329,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.417514,252.288136,2018-09-16T00:21:16.997Z,120.0,LUMINANCE,-16.521253,13.232602,,,,APICAM,,,2018-09-16T00:55:41.757Z,58377.01478009259,,,s,APICAM.2018-09-16T00-21-17.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,289.540401,2018-09-16T00:21:16.997Z,POSITION J2000 289.540401 -24.66329,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
ALL SKY,290.15470111,-24.66432805,APICAM.2018-09-16T00:23:44.000,2018-09-16T00:23:44.000,60.A-9008(A),24477,https://dataportal.eso.org/dataPortal/file/APICAM.2018-09-16T00:23:44.000,https://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?APICAM.2018-09-16T00:23:44.000,-24.664328,KAF-16803,,,,,CALIB,IMAGE,SKY,-2.494006,251.734634,2018-09-16T00:23:44.100Z,120.0,LUMINANCE,-17.036735,13.456451,,,,APICAM,,,2018-09-16T00:55:41.757Z,58377.01648148148,,,s,APICAM.2018-09-16T00-23-44.000.fits,60,"HAINAUT, O",APICAM-3: ALL-SKY DEEP CCD IMAGES OF,0,290.154701,2018-09-16T00:23:44.100Z,POSITION J2000 290.154701 -24.664328,,,1.0,1.0,90.0,,,,,,0.0,APICAM,,,,,,
